d35	date_d1_HTDMA	k35	d50	date_d50_HTDMA	k_HTDMA_D50	d75	date_d75_HTDMA	k_HTDMA_D75	d110	date_d110_HTDMA	k_HTDMA_D110	d165	date_d165_HTDMA	k_HTDMA_D165	d265	date_d265_HTDMA	k_HTDMA_D265
35	01.06.2015 20:25:23	0.064076946	50	26.05.2015 23:53:50	0.109463746	75	28.05.2015 08:02:24	0.196166809	110	29.05.2015 00:35:17	0.142166217	165	29.05.2015 02:00:00	0.222932692	265	28.05.2015 07:15:30	0.281636739
35	01.06.2015 22:42:03	0.046333853	50	27.05.2015 00:52:16	0.116755923	75	29.05.2015 00:57:40	0.127150735	110	29.05.2015 01:33:38	0.173988296	165	29.05.2015 02:58:00	0.205805514	265	28.05.2015 08:21:48	0.279629119
35	02.06.2015 01:00:08	0.105798628	50	27.05.2015 01:50:35	0.068310046	75	29.05.2015 01:56:08	0.126861237	110	29.05.2015 02:32:00	0.154944377	165	29.05.2015 03:57:00	0.276312599	265	29.05.2015 00:12:49	0.228958329
35	02.06.2015 03:41:29	0.124977524	50	27.05.2015 02:52:42	0.062995448	75	29.05.2015 02:54:27	0.129346233	110	29.05.2015 03:30:19	0.239403973	165	29.05.2015 04:55:00	0.260130334	265	29.05.2015 00:44:15	0.283961755
35	02.06.2015 05:56:01	0.066207833	50	27.05.2015 03:50:58	0.132887351	75	29.05.2015 03:52:43	0.21863474	110	29.05.2015 04:28:35	0.234818285	165	29.05.2015 05:53:00	0.256661443	265	29.05.2015 01:11:07	0.285672586
35	02.06.2015 07:55:21	0.13429796	50	27.05.2015 05:05:24	0.144324747	75	29.05.2015 04:51:03	0.152000195	110	29.05.2015 05:26:56	0.240043261	165	29.05.2015 06:52:00	0.275879655	265	29.05.2015 01:42:35	0.450336633
35	02.06.2015 09:52:00	0.116971213	50	27.05.2015 06:30:54	0.171975165	75	29.05.2015 05:49:23	0.183159501	110	29.05.2015 06:25:16	0.285498429	165	29.05.2015 07:50:00	0.297640048	265	29.05.2015 02:09:35	0.372744793
35	02.06.2015 11:51:44	0.140569247	50	27.05.2015 07:13:46	0.220526668	75	29.05.2015 06:47:39	0.222229	110	29.05.2015 07:23:28	0.303501502	165	29.05.2015 08:48:00	0.309859655	265	29.05.2015 02:40:58	0.277090854
35	02.06.2015 15:15:52	0.094846058	50	27.05.2015 08:44:28	0.213937124	75	29.05.2015 07:45:51	0.228309278	110	29.05.2015 08:21:40	0.335175619	165	29.05.2015 09:46:00	0.311794819	265	29.05.2015 03:07:55	0.487442753
35	02.06.2015 19:35:00	0.086413038	50	27.05.2015 09:59:44	0.306508694	75	29.05.2015 08:44:06	0.209101522	110	29.05.2015 09:19:59	0.246515313	165	29.05.2015 10:45:00	0.297869003	265	29.05.2015 03:39:16	0.519019705
35	02.06.2015 22:02:23	0.073544575	50	27.05.2015 10:40:20	0.180643043	75	29.05.2015 09:42:23	0.225881756	110	29.05.2015 10:18:15	0.30823261	165	29.05.2015 11:43:00	0.306321308	265	29.05.2015 04:06:09	0.440481193
35	02.06.2015 23:58:49	0.036777778	50	27.05.2015 12:42:27	0.195348467	75	29.05.2015 09:54:23	0.10667341	110	29.05.2015 11:16:36	0.317812526	165	29.05.2015 12:41:00	0.307150942	265	29.05.2015 04:37:34	0.435548807
35	03.06.2015 02:00:22	0.041505957	50	27.05.2015 13:09:23	0.159901477	75	29.05.2015 10:40:41	0.223930908	110	29.05.2015 12:14:53	0.283021392	165	29.05.2015 13:40:00	0.318954452	265	29.05.2015 05:04:31	0.527324337
35	03.06.2015 03:59:36	0.064483659	50	27.05.2015 13:46:22	0.209728114	75	29.05.2015 11:38:58	0.278130141	110	29.05.2015 13:13:17	0.230585077	165	29.05.2015 14:38:00	0.315721442	265	29.05.2015 05:35:56	0.378366472
35	03.06.2015 05:56:12	0.083444141	50	27.05.2015 14:03:27	0.215781526	75	29.05.2015 12:37:19	0.201964038	110	29.05.2015 14:11:30	0.270801782	165	29.05.2015 15:39:00	0.226313217	265	29.05.2015 06:02:52	0.484681303
35	03.06.2015 08:04:51	0.123932318	50	27.05.2015 15:14:51	0.1946279	75	29.05.2015 13:35:40	0.207326947	110	29.05.2015 15:09:45	0.297961829	165	29.05.2015 16:37:00	0.2466569	265	29.05.2015 06:34:14	0.533116234
35	03.06.2015 10:01:28	0.116218289	50	27.05.2015 16:16:00	0.225177999	75	29.05.2015 14:33:52	0.318895517	110	29.05.2015 16:10:34	0.267668876	165	29.05.2015 17:37:00	0.232767345	265	29.05.2015 07:01:05	0.334341147
35	03.06.2015 12:30:53	0.116594544	50	27.05.2015 17:17:15	0.255403704	75	29.05.2015 15:32:12	0.332963147	110	29.05.2015 17:08:51	0.263847443	165	29.05.2015 18:36:00	0.264824721	265	29.05.2015 07:32:26	0.576551673
35	03.06.2015 14:19:07	0.112159886	50	27.05.2015 18:20:05	0.19976184	75	29.05.2015 16:33:00	0.313894096	110	29.05.2015 18:09:09	0.230579172	165	29.05.2015 19:34:00	0.256664132	265	29.05.2015 07:59:17	0.325400619
35	03.06.2015 15:32:34	0.081946826	50	27.05.2015 19:23:30	0.104447709	75	29.05.2015 17:33:20	0.255262102	110	29.05.2015 19:07:30	0.245034364	165	29.05.2015 20:39:00	0.185878783	265	29.05.2015 08:30:38	0.560829822
35	03.06.2015 16:57:52	0.167891063	50	27.05.2015 20:32:53	0.091444633	75	29.05.2015 18:31:37	0.189582106	110	29.05.2015 20:07:54	0.194286816	165	29.05.2015 21:46:00	0.215715183	265	29.05.2015 08:57:33	0.383670549
35	03.06.2015 18:57:59	0.160203587	50	27.05.2015 21:44:14	0.084268527	75	29.05.2015 19:29:54	0.227360324	110	29.05.2015 21:13:12	0.18070695	165	29.05.2015 22:53:00	0.178956859	265	29.05.2015 09:28:56	0.432565107
35	03.06.2015 20:54:29	0.123877393	50	27.05.2015 22:54:38	0.135430355	75	29.05.2015 20:32:53	0.117855782	110	29.05.2015 22:22:48	0.157331905	165	30.05.2015 00:38:00	0.2546458	265	29.05.2015 09:55:50	0.379352479
35	03.06.2015 22:25:28	0.032108793	50	27.05.2015 23:28:48	0.162142407	75	29.05.2015 21:41:32	0.154900616	110	29.05.2015 23:26:42	0.175487763	165	30.05.2015 01:49:00	0.259696293	265	29.05.2015 10:27:12	0.331235889
35	03.06.2015 23:47:07	0.006696879	50	27.05.2015 23:56:56	0.086217437	75	29.05.2015 22:45:33	0.098120105	110	30.05.2015 00:38:54	0.183158169	165	30.05.2015 03:09:00	0.22641108	265	29.05.2015 10:54:09	0.335772747
